Slot,Folder,File name pattern,Aspect ratio,Sizes (px wide),Role,Current source,Alt text,Used on,Custom image prompt
"cat:event-exhibition","website/assets/images/categories/","event-printing-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Exhibition hall with fabric-walled stands and printed hanging banners for fictional companies","/event-printing-dubai/","Realistic photograph of a busy exhibition hall in Dubai with several stands dressed in printed tension fabric walls, fascia name boards and hanging fabric banners for fictional technology companies, visitors walking the aisles, bright hall lighting, elevated wide angle, fictional brand name, no real logos, no Flash Print Solution branding."
"card:directional-signage","website/assets/images/products/catalog-items/","directional-signage-{width}.webp","4:3","640 + 1200","","temporary stock (Unsplash)","Freestanding printed arrow sign directing guests to a conference hall in a hotel corridor","/event-printing-dubai/","Realistic photograph of a freestanding printed foamex directional sign with arrows and bilingual English and Arabic text pointing guests to a conference hall for a fictional summit, standing in a carpeted Dubai hotel corridor, warm ambient lighting, eye-level angle, fictional brand name, no real logos, no Flash Print Solution branding."
"cat:indoor-signage","website/assets/images/categories/","indoor-signage-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Brushed steel company logo on a dark stone wall behind a white office reception desk","/indoor-signage-dubai/","Realistic commercial photograph of a modern Dubai office reception with a brushed stainless steel logo mounted on stand-off pins on a dark stone wall behind a white reception desk, soft warm downlighting, straight-on eye-level view, fictional brand name, no real logos, no Flash Print Solution branding"
"card:foam-board-signs","website/assets/images/products/catalog-items/","foam-board-signs-{width}.webp","4:3","640 + 1200","","temporary stock (Unsplash)","Printed foam board welcome sign on a black easel at a corporate event entrance","/indoor-signage-dubai/","Realistic photograph of a printed white foam board welcome sign on a black easel at the entrance of a corporate event space in Dubai, clean full-colour graphics and crisp cut edges, soft natural light, three-quarter angle, fictional brand name, no real logos, no Flash Print Solution branding"
"cat:branding-identity","website/assets/images/categories/","branding-corporate-identity-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Matching business cards, letterhead, folder and envelope for a fictional consultancy on a desk","/branding-corporate-identity-dubai/","Realistic overhead photograph of a coordinated corporate identity set for a fictional consultancy, business cards, letterhead, DL envelope, presentation folder and notepad in deep green and cream with gold foil logo, arranged on a light oak desk in a Dubai office, soft window light, fictional brand name, no real logos, no Flash Print Solution branding."
"card:brand-manuals","website/assets/images/products/catalog-items/","brand-manuals-{width}.webp","4:3","640 + 1200","","temporary stock (Unsplash)","Open wire-bound brand manual showing colour swatches and logo usage pages","/branding-corporate-identity-dubai/","Realistic photograph of an open A4 landscape wire-bound brand manual for a fictional hospitality group, pages showing colour swatches, typography samples and logo spacing rules, resting on a white desk beside a pen, soft studio daylight, slight overhead angle, fictional brand name, no real logos, no Flash Print Solution branding."
"cat:vehicle-branding","website/assets/images/categories/","vehicle-branding-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Row of white panel vans with matching blue and green courier livery","/vehicle-branding-dubai/","Realistic commercial photograph of four white panel vans parked in a row outside a modern Dubai business park, each with matching blue and green partial wrap graphics for a fictional courier company, late afternoon light, three-quarter angle, crisp detail, fictional brand name, no real logos, no Flash Print Solution branding."
"card:car-stickers","website/assets/images/products/catalog-items/","car-stickers-{width}.webp","4:3","640 + 1200","","temporary stock (Unsplash)","Hand applying white cut vinyl lettering with a fictional phone number to a car door","/vehicle-branding-dubai/","Realistic close-up photograph of a hand pressing white cut vinyl lettering onto the door of a dark grey hatchback using a felt squeegee, showing a fictional company name and phone number, soft daylight in a shaded garage, shallow depth of field, fictional brand name, no real logos, no Flash Print Solution branding."
"cat:stickers-labels","website/assets/images/categories/","sticker-label-printing-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Assorted custom stickers and roll labels in different shapes spread across a light wooden table","/sticker-label-printing-dubai/","Realistic commercial flat-lay photograph of assorted custom stickers, die-cut logo stickers, clear seals and a roll of product labels arranged on a pale oak table in a bright Dubai studio, soft diffused daylight, top-down angle, fictional brand name, no real logos, no Flash Print Solution branding."
"cat:apparel","website/assets/images/categories/","apparel-fabric-printing-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Folded printed t-shirts, embroidered polo shirts and a hoodie stacked on a workshop table","/apparel-fabric-printing-dubai/","Realistic commercial photograph of neatly folded branded apparel on a workshop table: printed black and white t-shirts, navy polo shirts with embroidered chest logos and a grey hoodie, soft overhead light, 45-degree angle, fictional brand name, no real logos, no Flash Print Solution branding."
"card:doctor-cap-and-coat","website/assets/images/products/catalog-items/","doctor-cap-and-coat-{width}.webp","4:3","640 + 1200","","temporary stock (Unsplash)","White lab coat with an embroidered fictional clinic logo on the chest pocket","/apparel-fabric-printing-dubai/","Realistic product photograph of a white poly-cotton doctor's lab coat on a hanger, with a navy embroidered fictional clinic logo and name above the chest pocket, clean white clinic backdrop, soft even light, front angle, fictional brand name, no real logos, no Flash Print Solution branding."
"card:doctor-uniform-medical-scrubs","website/assets/images/products/catalog-items/","doctor-uniform-medical-scrubs-{width}.webp","4:3","640 + 1200","","temporary stock (Unsplash)","Teal medical scrubs with a small embroidered fictional logo folded on a counter","/apparel-fabric-printing-dubai/","Realistic product photograph of a folded teal medical scrub top and trousers with a small white embroidered fictional clinic logo on the chest, placed on a clean clinic counter, bright soft daylight, top-down angle, fictional brand name, no real logos, no Flash Print Solution branding."
"card:hoodies","website/assets/images/products/catalog-items/","hoodies-{width}.webp","4:3","640 + 1200","","temporary stock (Unsplash)","Grey pullover hoodie with a printed fictional logo on the chest on a rail","/apparel-fabric-printing-dubai/","Realistic product photograph of a heather grey pullover hoodie with a printed navy fictional logo on the chest, hanging on a wooden clothes rail against a white brick wall, soft natural light, front angle, fictional brand name, no real logos, no Flash Print Solution branding."
"card:polo-shirts","website/assets/images/products/catalog-items/","polo-shirts-{width}.webp","4:3","640 + 1200","","temporary stock (Unsplash)","Navy pique polo shirt with a white embroidered fictional logo on the left chest","/apparel-fabric-printing-dubai/","Realistic product photograph of a folded navy pique cotton polo shirt with a white embroidered fictional logo on the left chest, on a light grey surface, soft studio lighting, slight top-down angle, fictional brand name, no real logos, no Flash Print Solution branding."
"cat:packaging","website/assets/images/categories/","packaging-printing-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Printed gift boxes, a laminated carrier bag and kraft bags with swing tags on display","/packaging-printing-dubai/","Realistic commercial photograph of a coordinated packaging set for a fictional fragrance brand: rigid gift box, folding carton, laminated paper carrier bag, kraft bag and foil swing tag arranged on a light stone display table, soft studio daylight, three-quarter angle, fictional brand name, no real logos, no Flash Print Solution branding."
"cat:safety-industrial","website/assets/images/categories/","safety-industrial-printing-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Yellow warning and blue mandatory safety signs fixed to a warehouse wall beside pallet racking","/safety-industrial-printing-dubai/","Realistic commercial photograph of a clean warehouse wall with neatly mounted yellow warning, red prohibition and blue mandatory safety signs on white PVC boards, pallet racking and a yellow floor walkway line beside it, cool daylight from high windows, wide eye-level view, fictional brand name, no real logos, no Flash Print Solution branding."
"card:construction-boards","website/assets/images/products/catalog-items/","construction-boards-{width}.webp","4:3","640 + 1200","","temporary stock (Unsplash)","Printed site rules board cable-tied to temporary mesh fencing in a sandy yard","/safety-industrial-printing-dubai/","Realistic commercial photograph of a white printed ACP board listing site rules and hazard icons, cable-tied to temporary mesh fencing at a sandy Dubai laydown yard, stacked materials behind, bright late-afternoon sun, three-quarter angle at eye level, fictional brand name, no real logos, no Flash Print Solution branding."
"card:floor-stickers","website/assets/images/products/catalog-items/","floor-stickers-{width}.webp","4:3","640 + 1200","","temporary stock (Unsplash)","Yellow anti-slip floor sticker with a walking figure on a grey warehouse floor","/safety-industrial-printing-dubai/","Realistic commercial photograph of a yellow and black anti-slip floor sticker showing a pedestrian symbol and arrow on a polished grey epoxy warehouse floor, forklift softly out of focus in the background, even overhead lighting, low camera angle close to the floor, fictional brand name, no real logos, no Flash Print Solution branding."
"cat:laser-engraving","website/assets/images/categories/","laser-cutting-engraving-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Laser-cut acrylic letters, engraved wooden plaque and metal name plate arranged on a workbench","/laser-cutting-engraving-dubai/","Realistic commercial photograph of laser-cut products on a workshop bench: glossy black and mirror-gold acrylic letters, an engraved walnut plaque and a brushed steel name plate, soft overhead workshop light, 45-degree angle, fictional brand name, no real logos, no Flash Print Solution branding."
"card:mdf-cutting","website/assets/images/products/catalog-items/","mdf-cutting-{width}.webp","4:3","640 + 1200","","temporary stock (Unsplash)","Laser-cut MDF letters and decorative shapes with darkened edges stacked on a bench","/laser-cutting-engraving-dubai/","Realistic commercial photograph of laser-cut 6 mm MDF letters and geometric decorative panels with darkened cut edges, stacked on a workshop bench beside an offcut sheet, warm soft light, three-quarter angle, fictional brand name, no real logos, no Flash Print Solution branding."
"cat:pos-retail","website/assets/images/categories/","pos-retail-display-printing-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Supermarket aisle with printed end-cap header, shelf strips and wobblers for a snack brand","/pos-retail-display-printing-dubai/","Realistic retail photograph of a bright supermarket aisle end with a printed header board, red shelf-edge strips, circular wobblers and a cut-out standee promoting a fictional snack brand, neatly stocked shelves, even store lighting, eye-level angle from the main walkway, fictional brand name, no real logos, no Flash Print Solution branding."
"cat:wall-floor-glass","website/assets/images/categories/","wall-floor-glass-branding-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Glass meeting room with a frosted film band and cut logo in a bright office","/wall-floor-glass-branding-dubai/","Realistic commercial photograph of a glass-walled meeting room in a bright Dubai office, frosted film band at eye level with a clear cut-out logo, colourful printed wall mural visible behind, polished floor, natural daylight, wide three-quarter view, fictional brand name, no real logos, no Flash Print Solution branding"
"cat:construction-site","website/assets/images/categories/","construction-site-printing-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Printed hoarding with a building render and safety messages along a construction site","/construction-site-printing-dubai/","Realistic commercial photograph of a long printed construction hoarding along a Dubai pavement, showing a residential tower render and simple safety messages, tower cranes rising behind, clear blue sky and bright afternoon sun, wide street-level angle, fictional brand name, no real logos, no Flash Print Solution branding."
"cat:interior-graphics","website/assets/images/categories/","architectural-interior-graphics-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Hotel corridor with custom printed geometric wallpaper and framed canvas artwork","/architectural-interior-graphics-dubai/","Realistic interior photograph of a Dubai hotel corridor lined with custom printed geometric wallpaper in muted gold and teal, framed canvas artworks between guest room doors, warm wall-washer lighting, carpeted floor, one-point perspective, fictional brand name, no real logos, no Flash Print Solution branding"
"cat:educational","website/assets/images/categories/","educational-institutional-printing-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Printed graduation certificates, student ID cards and a bound training manual arranged on a desk","/educational-institutional-printing-dubai/","Realistic commercial photograph of school print materials on a light oak desk: cream certificates with gold foil seals, white PVC student ID cards on blue lanyards and a wire-bound training manual. Soft window daylight, three-quarter overhead angle, shallow depth of field. Fictional brand name, no real logos, no Flash Print Solution branding."
"cat:hospitality","website/assets/images/categories/","hospitality-printing-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Restaurant table set with printed menus, a table mat and a tent card","/hospitality-printing-dubai/","Realistic commercial photograph of a hotel restaurant table in Dubai set with a laminated printed menu, a paper table mat and a small tent card, soft warm evening light, cutlery and glassware, shallow depth of field, three-quarter overhead angle, fictional brand name, no real logos, no Flash Print Solution branding."
"card:room-signage","website/assets/images/products/catalog-items/","room-signage-{width}.webp","4:3","640 + 1200","","temporary stock (Unsplash)","Brushed metal hotel room number plate mounted beside a wooden door in a corridor","/hospitality-printing-dubai/","Realistic commercial photograph of a brushed aluminium room number plate with engraved numerals mounted beside a dark wooden door in a quiet hotel corridor in Dubai, warm wall-light glow, carpeted floor, eye-level three-quarter angle, fictional brand name, no real logos, no Flash Print Solution branding."
"cat:healthcare-medical","website/assets/images/categories/","healthcare-medical-printing-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Clinic corridor with bilingual department signs and a patient information board","/healthcare-medical-printing-dubai/","Realistic commercial photograph of a bright, modern Dubai clinic corridor with white acrylic bilingual department signs, a projecting corridor sign and a wall-mounted patient information board, pale floors and soft daylight, calm atmosphere, wide eye-level perspective, fictional brand name, no real logos, no Flash Print Solution branding."
"cat:government-compliance","website/assets/images/categories/","government-compliance-printing-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Bilingual building identification board in brushed aluminium at a facility entrance","/government-compliance-printing-dubai/","Realistic commercial photograph of a brushed aluminium building identification board with English and Arabic lettering and a building number for a fictional facility, mounted beside a glass entrance of a modern Dubai office building, clean paving, soft morning light, eye-level three-quarter angle, fictional brand name, no real logos, no Flash Print Solution branding."
"cat:sticker-materials","website/assets/images/categories/","sticker-materials-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Sticker material samples in paper, clear film, vinyl and reflective sheet fanned across a table","/sticker-materials-dubai/","Realistic commercial photograph of sticker material swatches fanned out on a light grey table: kraft paper, semi-gloss paper, clear film, white vinyl, silver reflective sheet and a flexible magnet, soft studio daylight, top-down angle, fictional brand name, no real logos, no Flash Print Solution branding."
"cat:fabrication-installation","website/assets/images/categories/","fabrication-installation-services-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Installation team fixing illuminated letters to a shopfront fascia from a mobile platform","/fabrication-installation-services-dubai/","Realistic commercial photograph of two installers on a mobile elevated platform fixing illuminated acrylic letters to a modern shopfront fascia in a Dubai retail street, late afternoon light, hi-vis vests, low angle looking up. Fictional brand name, no real logos, no Flash Print Solution branding."
"card:sticker-fixing","website/assets/images/products/catalog-items/","sticker-fixing-{width}.webp","4:3","640 + 1200","","temporary stock (Unsplash)","Installer applying a white vinyl logo sticker to a glass office door with a squeegee","/fabrication-installation-services-dubai/","Realistic close-up commercial photograph of an installer's hands applying a white cut-vinyl logo to a glass office door with a felt-edged squeegee, application tape half peeled, bright modern Dubai office interior softly blurred behind. Fictional brand name, no real logos, no Flash Print Solution branding."
"cat:design-creative","website/assets/images/categories/","design-creative-services-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Designer working on print artwork at a large monitor with colour swatches on the desk","/design-creative-services-dubai/","Realistic photograph of a designer preparing brochure and signage artwork on a large monitor in a bright Dubai studio, printed proofs and Pantone-style colour swatch fans on the desk, soft daylight, over-the-shoulder angle, fictional brand name, no real logos, no Flash Print Solution branding."
"card:sign-maintenance","website/assets/images/products/catalog-items/","sign-maintenance-{width}.webp","4:3","640 + 1200","","temporary stock (Unsplash)","Technician on a ladder cleaning and inspecting an illuminated shop front sign","/design-creative-services-dubai/","Realistic photograph of a technician on a ladder cleaning and inspecting an illuminated shop front sign with fictional lettering on a Dubai street, safety harness and tool bag visible, bright daytime light, low angle, fictional brand name, no real logos, no Flash Print Solution branding."
"cat:maintenance-replacement","website/assets/images/categories/","maintenance-replacement-services-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Technician replacing a faded printed face on an illuminated shop light box sign","/maintenance-replacement-services-dubai/","Realistic commercial photograph of a technician on a ladder removing a sun-faded printed face from an illuminated light box sign above a small Dubai shopfront, new bright face panel leaning against the ladder, clear morning light, medium-wide angle. Fictional brand name, no real logos, no Flash Print Solution branding."
"p:gold-foil-business-card-printing-dubai:hero","website/assets/images/products/gold-foil-business-card-printing-dubai/","gold-foil-business-card-printing-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Black business cards with gold foil lettering fanned out on white marble","/gold-foil-business-card-printing-dubai/","Realistic commercial product photograph of thick black business cards with shiny gold foil lettering and a foil logo, fanned out on a white marble surface, soft studio lighting with a gentle highlight on the foil, top-down angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:gold-foil-business-card-printing-dubai:detail","website/assets/images/products/gold-foil-business-card-printing-dubai/","gold-foil-business-card-printing-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Macro view of a gold foil logo pressed into black soft-touch card","/gold-foil-business-card-printing-dubai/","Macro commercial photograph of a hot-foil stamped gold logo pressed into black soft-touch card, showing the slight impression and reflective foil edge, raking light across the surface, very shallow depth of field, fictional brand name, no real logos, no Flash Print Solution branding."
"p:gold-foil-business-card-printing-dubai:application","website/assets/images/products/gold-foil-business-card-printing-dubai/","gold-foil-business-card-printing-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Hand holding a gold foil business card at a hotel reception desk","/gold-foil-business-card-printing-dubai/","Realistic photograph of a hand presenting a navy business card with gold foil details at a polished hotel reception desk in Dubai, warm ambient lighting, blurred lobby in the background, eye-level angle, fictional brand name, no real logos, no Flash Print Solution branding."
